Ticker,ADANIENT.NS,ADANIPORTS.NS,APOLLOHOSP.NS,ASIANPAINT.NS,AXISBANK.NS,BAJAJ-AUTO.NS,BAJAJFINSV.NS,BAJFINANCE.NS,BEL.NS,BHARTIARTL.NS,BPCL.NS,BRITANNIA.NS,CIPLA.NS,COALINDIA.NS,DRREDDY.NS,EICHERMOT.NS,GRASIM.NS,HCLTECH.NS,HDFCBANK.NS,HEROMOTOCO.NS,HINDALCO.NS,HINDUNILVR.NS,ICICIBANK.NS,INDUSINDBK.NS,INFY.NS,ITC.NS,JSWSTEEL.NS,KOTAKBANK.NS,LT.NS,M&M.NS,MARUTI.NS,NESTLEIND.NS,NTPC.NS,ONGC.NS,POWERGRID.NS,RELIANCE.NS,SBIN.NS,SHRIRAMFIN.NS,SUNPHARMA.NS,TATACONSUM.NS,TATAMOTORS.NS,TATASTEEL.NS,TCS.NS,TECHM.NS,TITAN.NS,TRENT.NS,ULTRACEMCO.NS,WIPRO.NS
CIPLA.NS,0.00010464138788959907,7.913512850278471e-05,8.158862168540028e-05,4.2513888378879125e-05,7.599148894030901e-05,5.6900058423265805e-05,6.407638655940036e-05,6.101536598172479e-05,8.303058721539456e-05,5.9942658789322156e-05,6.405326820171763e-05,5.479365518372749e-05,0.00028432957929988177,5.3700442383772834e-05,0.00011474957072367841,5.425020954045863e-05,8.368584719334027e-05,4.8821312179319144e-05,3.9155893845582816e-05,5.873454462705836e-05,0.00010554289268055727,4.787686357308141e-05,6.7376035127024e-05,7.148287166688891e-05,4.811479874167623e-05,4.959456258129289e-05,8.794591559805463e-05,5.327964900775791e-05,6.774674479939066e-05,8.262208442394849e-05,6.168053768927026e-05,4.03589324531135e-05,5.889656969083538e-05,6.705318689468309e-05,4.460108963954629e-05,5.293640652459387e-05,7.549208413038488e-05,6.0772971682361844e-05,0.00013465664945581205,9.105589804305065e-05,8.723638610282101e-05,8.220428319593525e-05,4.116265792880616e-05,6.00670719363578e-05,5.672073606651826e-05,4.778828104259473e-05,6.400826225363014e-05,5.0976909151782186e-05
COALINDIA.NS,0.00015456935129319908,0.00012163954285612342,6.356124102618534e-05,5.060019514452271e-05,0.0001112647125574089,6.538813885840689e-05,0.0001001664925278991,9.748793736173909e-05,0.00013797253129557387,6.095358430314684e-05,0.00012727369426729872,4.801770242713602e-05,5.3700442383772834e-05,0.0003387542032424148,5.260048802582298e-05,8.957684854972236e-05,0.00010308840522034525,6.315717613350446e-05,5.6444138612775165e-05,7.992038050912224e-05,0.00017988415366871615,3.252330716808189e-05,0.0001004868805355179,0.00011293501386206825,4.643735646330018e-05,7.605014928786849e-05,0.00014084858068794096,6.379826668130727e-05,9.688074163900036e-05,9.530892634627714e-05,8.307626930540515e-05,3.3759862831039296e-05,0.0001234579073283766,0.0001716943348136978,8.132029274278939e-05,9.533792011957818e-05,0.0001312339385450803,0.00011916418474111891,7.209406192878165e-05,8.406422831923124e-05,0.0001554430236680215,0.000145702437796337,4.6136045415775775e-05,6.623366653919253e-05,7.452549905891706e-05,7.544675971998375e-05,8.171250344260716e-05,6.394002923291786e-05
DRREDDY.NS,8.965846453341793e-05,7.267656403313075e-05,8.40213798228483e-05,5.168424994311785e-05,6.268387375083718e-05,6.0519831789465486e-05,5.497736890222623e-05,5.27014124684567e-05,5.542075825711245e-05,4.162026453236286e-05,6.291264343312149e-05,5.9307807726951527e-05,0.00011474957072367841,5.260048802582298e-05,0.00030228596903143665,5.27757189071679e-05,7.936565146506788e-05,4.703051904274195e-05,3.789136319825985e-05,6.223228318458431e-05,9.250908558712442e-05,5.790367178237875e-05,5.8993956270954026e-05,5.800259670389995e-05,5.462494374375368e-05,3.7605075812625576e-05,8.09051719469878e-05,4.760102123732452e-05,5.851034556628433e-05,6.265079079386737e-05,4.824493195381136e-05,5.0335944370989495e-05,4.5245100165365956e-05,5.737121863752004e-05,3.35296924594938e-05,6.71495334607569e-05,5.9612146946838505e-05,5.890079466700946e-05,0.00012712976580657332,7.509447785375674e-05,7.290222979257816e-05,7.697175874456661e-05,3.6120917005475426e-05,6.474254472805646e-05,3.9453821498809736e-05,4.962240853343591e-05,6.580487468117205e-05,5.9678946693751075e-05
EICHERMOT.NS,0.00018289810781642104,0.00014481596915990897,9.882285074103542e-05,0.00011468611230836606,0.00016575649707095794,0.00013447731125653073,0.00016662791506321482,0.00018949113908710063,0.00014032224072668836,9.823900469100822e-05,0.00012940952626747657,0.00010115050116528408,5.425020954045863e-05,8.957684854972236e-05,5.27757189071679e-05,0.0004170415989615356,0.00013895287002330068,6.210646020253647e-05,0.00011145831162711469,0.00014658181688733413,0.0001673365193034528,7.271573530264176e-05,0.00015407369756535472,0.00017538439855614355,5.711443529375021e-05,7.37835685528872e-05,0.00015116260861330064,0.00011776348185737856,0.00013276740065066103,0.0001668040538432403,0.00017966234187121916,5.960956448367301e-05,8.369514736003359e-05,9.18136525635194e-05,6.336262047081467e-05,0.00010903488070156938,0.00014655010270329662,0.00018807984189757513,7.558717600587436e-05,0.00013307606185450628,0.0002014425268740858,0.00014631456378083206,4.8993000269533016e-05,7.561423195516112e-05,0.00012604501226808575,0.00012136915074791863,0.00013509371790774492,5.308859882992757e-05
GRASIM.NS,0.00022540136600596582,0.0001734856165566656,0.0001021414435402349,0.00010703131543181608,0.00018266266583212855,0.00011022841688514166,0.00017492767820149476,0.0001742467230289434,0.00015634714464490035,0.00013349313265605386,0.0001423315414069499,8.82644776198413e-05,8.368584719334027e-05,0.00010308840522034525,7.936565146506788e-05,0.00013895287002330068,0.0003481782281684509,6.512319291906963e-05,0.00011425335245970945,0.00012341910754041073,0.00020856936139999118,7.504390002539812e-05,0.0001598432792563238,0.00018870305798856425,6.845806240138776e-05,8.781592636470547e-05,0.00019406055577303214,0.00011597829648116836,0.00015011053237352594,0.0001519255496683168,0.00014609067699988641,7.19580044981297e-05,0.00010095914342730753,0.00011863931143865046,8.444024380143314e-05,0.00011573606129137394,0.0001813090233510895,0.00018885711674219811,0.00011131192598501744,0.00014809200459752945,0.0002052874203367757,0.00018739564967082308,6.428055492376166e-05,9.549467302057676e-05,0.00012762014530393775,0.0001240837199071436,0.00019725186667169295,7.407245547805027e-05
HCLTECH.NS,0.00011203976217244769,8.318325505153894e-05,6.870503051935865e-05,5.6792595179692716e-05,7.355292225076368e-05,5.219962823985277e-05,6.913344435450385e-05,7.061192921281026e-05,6.143537936274643e-05,5.924603216900649e-05,6.0149729769020864e-05,5.373175287610872e-05,4.8821312179319144e-05,6.315717613350446e-05,4.703051904274195e-05,6.210646020253647e-05,6.512319291906963e-05,0.00029182721328509297,6.0162969062903535e-05,6.575025289830995e-05,0.00011687338161736541,5.583832996809745e-05,6.944776587577449e-05,7.839899402768527e-05,0.00016102588838906606,4.585338594374074e-05,9.766540516306053e-05,5.4724493763328266e-05,6.239861052998098e-05,7.31673941132299e-05,7.03671544643956e-05,5.2380416670649816e-05,5.734228969873358e-05,7.722669009550245e-05,4.444517083736987e-05,8.181731934000384e-05,6.326643694067536e-05,7.005570124658895e-05,5.9269679952662396e-05,8.037980158472347e-05,0.00010890637959556572,8.388295309705959e-05,0.00013594819912692943,0.00016053484504817707,5.978930462698648e-05,6.0121127953197194e-05,7.030828683700027e-05,0.00013843977945204644
HDFCBANK.NS,0.0001396525290965366,0.00011978882756061155,6.799870115048547e-05,7.224631245779172e-05,0.00014766412438171835,8.504440275880921e-05,0.00013995680659649977,0.00015594407141539306,8.660996779285922e-05,7.958569605948704e-05,9.44293633320964e-05,6.435189473025028e-05,3.9155893845582816e-05,5.6444138612775165e-05,3.789136319825985e-05,0.00011145831162711469,0.00011425335245970945,6.0162969062903535e-05,0.00020528878923381367,9.480340766628881e-05,0.00013638502090552933,5.703196265340983e-05,0.0001529483507935587,0.0001781391961404109,6.890890775128283e-05,6.717086421113178e-05,0.00011566500574110845,0.000146492951088737,0.00011757452876953881,0.00011069733318076253,0.00010599831604972964,4.7789057347507534e-05,6.388152397950255e-05,6.014856700439272e-05,5.494577521832255e-05,0.00010209637918525627,0.0001327213081671618,0.00015407484585864715,5.6691322282028846e-05,8.890109642817937e-05,0.0001315111042243806,0.00010818730917336276,5.631435497371945e-05,6.61437931468053e-05,9.321829550693128e-05,0.00010475022663041383,0.00010209384267137707,6.0190965047336095e-05
HEROMOTOCO.NS,0.00015361170064336245,0.00012744230297642584,9.064225338543444e-05,9.064509256688348e-05,0.00012158600745780747,0.0001670701493994613,0.00012879032335998483,0.0001380105267138886,0.00010350168135135245,8.996295800146839e-05,0.00010408801397594609,8.263799105031864e-05,5.873454462705836e-05,7.992038050912224e-05,6.223228318458431e-05,0.00014658181688733413,0.00012341910754041073,6.575025289830995e-05,9.480340766628881e-05,0.000313493984959947,0.0001478527890422739,7.059137014796493e-05,0.00012275692977605437,0.00015552232472736818,6.535863411590163e-05,7.333211625122839e-05,0.0001266027000901964,9.854165010355078e-05,0.00011335772772071558,0.00015111670487387893,0.00016079340119390875,5.588471547918048e-05,7.745780226592089e-05,9.371912774743051e-05,6.723365808723614e-05,9.667383528196408e-05,0.00011988593781135102,0.00014496488322958466,6.805154215970589e-05,0.00010543910549239338,0.00018458351743397416,0.00011215601852404497,6.253613236342633e-05,7.144132169495099e-05,0.00011279581934493454,0.00010774433391504669,0.00011178024002244679,7.046613653044747e-05
HINDALCO.NS,0.00028767607782409873,0.00022466639645693618,0.0001361472075178795,9.619576598486047e-05,0.00022216920992846646,0.00013472247443609245,0.00020804849465430277,0.00019852178556279562,0.00020029449422118194,0.0001433698299210457,0.00016803511884772826,9.693979675978705e-05,0.00010554289268055727,0.00017988415366871615,9.250908558712442e-05,0.0001673365193034528,0.00020856936139999118,0.00011687338161736541,0.00013638502090552933,0.0001478527890422739,0.0006397481189308484,7.285271174631881e-05,0.00022275357406874142,0.00022031036668692516,0.00011795117895943996,0.00011451724492894764,0.0003368966409841675,0.00013439594276224361,0.00019584814719649844,0.00018347948589415787,0.0001712734289202168,7.28148925646016e-05,0.00015428093756005224,0.00021910619071753456,0.00010654415578046347,0.0001611788672582797,0.0002472309363476638,0.00022911743215549334,0.00012897304503390312,0.00017906352276703862,0.000309803308359843,0.00038654195934073745,9.217738134279864e-05,0.00012778590527301952,0.00015284811968221406,0.00015098351618218344,0.00018422179441493264,0.00011566446794533405
HINDUNILVR.NS,8.852525126505202e-05,6.862972735889928e-05,6.540943001841866e-05,9.190468987970102e-05,7.917806807737817e-05,6.614177506438889e-05,7.704743584969963e-05,9.158409955638836e-05,5.725522138208432e-05,5.510331035576184e-05,6.981368926186565e-05,9.93013437511058e-05,4.787686357308141e-05,3.252330716808189e-05,5.790367178237875e-05,7.271573530264176e-05,7.504390002539812e-05,5.583832996809745e-05,5.703196265340983e-05,7.059137014796493e-05,7.285271174631881e-05,0.00020606628751338916,7.051326567449366e-05,9.893055579719901e-05,5.6654970760901796e-05,5.5644921282686564e-05,6.919546977924497e-05,7.11094286656767e-05,6.49174598386852e-05,6.418810062058724e-05,8.283445530261968e-05,9.002499321792798e-05,3.632190853840027e-05,4.4266488825790175e-05,2.9269127625439277e-05,7.025213280910032e-05,6.217283760473503e-05,6.81002437865537e-05,5.4580575140904157e-05,8.687101992126066e-05,6.789487322948255e-05,6.071355713654566e-05,5.1900611882832855e-05,5.994522663010262e-05,7.484502394813142e-05,6.550828657263262e-05,7.640906551168833e-05,5.212023806601371e-05
ICICIBANK.NS,0.0002320426451118087,0.0001860758754463543,0.00010242972305880012,9.895015679557364e-05,0.0002978059028018405,0.00010503954364214586,0.00019639028136261762,0.0002129742343758455,0.00015441658844693302,0.00011361959968967477,0.00013898725747543507,8.296853956019063e-05,6.7376035127024e-05,0.0001004868805355179,5.8993956270954026e-05,0.00015407369756535472,0.0001598432792563238,6.944776587577449e-05,0.0001529483507935587,0.00012275692977605437,0.00022275357406874142,7.051326567449366e-05,0.00041972009010001214,0.0002424143562527569,8.366207684279957e-05,9.748867946574761e-05,0.00019463176399421773,0.0001538346179409326,0.00017977224035170376,0.0001561430749331593,0.00015755743541719328,6.031324076348377e-05,0.0001103420654283072,0.00013253192217523482,8.901806937532656e-05,0.00013363873278565024,0.00029881797322438346,0.00024968268537604605,8.835990249877359e-05,0.00013563994190336667,0.0002195165272816314,0.00020525382141356403,6.436529235020154e-05,9.405404586151381e-05,0.00013119282714066453,0.00013723947793640922,0.0001630153812173546,7.574928848966056e-05
INDUSINDBK.NS,0.00024159862001943915,0.00018689978420860628,0.00011324723150835924,0.0001194288064357593,0.0002879374638870413,0.0001334613257513806,0.0002566783304166314,0.0002721444960580918,0.0001471419151104318,0.00013109251101899686,0.00015059826747010663,0.00010462321549144407,7.148287166688891e-05,0.00011293501386206825,5.800259670389995e-05,0.00017538439855614355,0.00018870305798856425,7.839899402768527e-05,0.0001781391961404109,0.00015552232472736818,0.00022031036668692516,9.893055579719901e-05,0.0002424143562527569,0.0006741055145150622,9.976896247933982e-05,0.00010009561105638604,0.00020185069770204897,0.00018705488787130697,0.00019286016687371815,0.0001854508473774353,0.00016708543345096593,7.629170126164204e-05,0.00010793829690102449,0.00011502952698221305,0.0001017440890787985,0.00012521566811305633,0.00023053205714308544,0.0003009126655051504,8.786398237860129e-05,0.00014208732538779505,0.00023409128149488566,0.00018003137253531364,7.602329561614365e-05,9.320514054003645e-05,0.00013556694675405503,0.00016562231812548262,0.00016081094218201676,8.474011893847442e-05
INFY.NS,0.0001008482211881143,8.098050414031231e-05,6.558016661221828e-05,6.014614766328135e-05,8.534576204435137e-05,5.606613595336362e-05,8.004909538122315e-05,9.286230024621546e-05,5.730730667722471e-05,6.239327277285797e-05,5.449650607707398e-05,5.5201459424724205e-05,4.811479874167623e-05,4.643735646330018e-05,5.462494374375368e-05,5.711443529375021e-05,6.845806240138776e-05,0.00016102588838906606,6.890890775128283e-05,6.535863411590163e-05,0.00011795117895943996,5.6654970760901796e-05,8.366207684279957e-05,9.976896247933982e-05,0.00028567108001217336,4.487042697433179e-05,9.323537138804256e-05,6.989477167981887e-05,7.523630136190765e-05,6.83445084367928e-05,6.3267677137529e-05,5.044745523273252e-05,5.0505971961949265e-05,6.376992222040953e-05,3.4708899834112543e-05,7.861863312571205e-05,7.376136862012564e-05,7.747752333715976e-05,5.6889847545232866e-05,7.786651528639887e-05,0.00010510545192367775,8.043590828903068e-05,0.0001427805141102725,0.00016258825760639292,6.31890919036317e-05,6.758266127215099e-05,6.9659826127459e-05,0.00013670018639931245
ITC.NS,0.00011108324504922837,9.901539996419613e-05,6.246062530212351e-05,5.509822937670542e-05,9.237024636622046e-05,6.566336233313296e-05,9.755706095991114e-05,9.13207022243392e-05,9.516960535068563e-05,7.1122852201911e-05,9.15001145931216e-05,5.915037675563286e-05,4.959456258129289e-05,7.605014928786849e-05,3.7605075812625576e-05,7.37835685528872e-05,8.781592636470547e-05,4.585338594374074e-05,6.717086421113178e-05,7.333211625122839e-05,0.00011451724492894764,5.5644921282686564e-05,9.748867946574761e-05,0.00010009561105638604,4.487042697433179e-05,0.0002628138998686948,0.00010406174568758849,7.413581065249487e-05,8.730488676815453e-05,9.309455969251992e-05,7.042787414106405e-05,4.128891832252032e-05,6.77589984683808e-05,8.874721457401868e-05,6.036208662431798e-05,7.074233736436726e-05,0.00011402918223364108,9.41485180359429e-05,5.7608259923956614e-05,8.047523400267327e-05,0.0001276427267153191,0.00010569418203695945,4.4051948786097176e-05,5.340083855939151e-05,7.475033922909027e-05,7.875382977709898e-05,7.474692568710815e-05,4.988092885614791e-05
